eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035187,安康旬阳关口铅锌矿-HLH-AKCO576TL,AKCO576TL-0,265007872,安康旬阳关口铅锌矿-HLH-AKCO576TL-0,lte,109.570833,32.955277,宏站
1035187,安康旬阳关口铅锌矿-HLH-AKCO576TL,AKCO576TL-1,265007873,安康旬阳关口铅锌矿-HLH-AKCO576TL-1,lte,109.570833,32.955277,宏站
1035187,安康旬阳关口铅锌矿-HLH-AKCO576TL,AKCO576TL-2,265007874,安康旬阳关口铅锌矿-HLH-AKCO576TL-2,lte,109.570833,32.955277,宏站
1035206,安康旬阳观音塘-HLH-AKCO595TL,AKCO595TL-0,265012736,安康旬阳观音塘-HLH-AKCO595TL-0,lte,109.342777,32.735833,宏站
1035206,安康旬阳观音塘-HLH-AKCO595TL,AKCO595TL-1,265012737,安康旬阳观音塘-HLH-AKCO595TL-1,lte,109.342777,32.735833,宏站
1035206,安康旬阳观音塘-HLH-AKCO595TL,AKCO595TL-2,265012738,安康旬阳观音塘-HLH-AKCO595TL-2,lte,109.342777,32.735833,宏站
1035126,安康旬阳桂花-HLH-AKCO515TL,AKCO515TL-0,264992256,安康旬阳桂花-HLH-AKCO515TL-0,lte,109.330833,32.701944,宏站
1035126,安康旬阳桂花-HLH-AKCO515TL,AKCO515TL-1,264992257,安康旬阳桂花-HLH-AKCO515TL-1,lte,109.330833,32.701944,宏站
1035126,安康旬阳桂花-HLH-AKCO515TL,AKCO515TL-2,264992258,安康旬阳桂花-HLH-AKCO515TL-2,lte,109.330833,32.701944,宏站
1035281,安康旬阳桂花村-HLH-AKCO670TL,AKCO670TL-0,265031936,安康旬阳桂花村-HLH-AKCO670TL-0,lte,109.191388,32.926666,宏站
1035281,安康旬阳桂花村-HLH-AKCO670TL,AKCO670TL-1,265031937,安康旬阳桂花村-HLH-AKCO670TL-1,lte,109.191388,32.926666,宏站
1035281,安康旬阳桂花村-HLH-AKCO670TL,AKCO670TL-2,265031938,安康旬阳桂花村-HLH-AKCO670TL-2,lte,109.191388,32.926666,宏站
1035603,安康旬阳桂花靛纸沟-HLH-AKCO992TL,AKCO992TL-0,265114368,安康旬阳桂花靛纸沟-HLH-AKCO992TL-0,lte,109.301388,32.687777,宏站
